term,sentence,source,classification,model_response
fire,I'm allergic to fire and this gun is a lot lighter than a mailbag.,opensub,Literal,"No

Sentence: """
work,"Yeah, that's how police stations work.",opensub,Literal,"No

Sentence: """
come,- I can't come back tomorrow.,opensub,Literal,"No

Sentence: """
live,- I live in an old people's home!,opensub,Literal,"No

Sentence: """
bad,The teacher's job is to bring out good habits in the pupil and to get rid of bad habits.,opensub,Literal,"No


Sentence: """
game,"This was a game between Fischer and Spassky in Reykjavik, in 1 972.",opensub,Literal,"No 


Sentence:"
come,- You can come back and visit.,opensub,Literal,"No

Sentence: """
come,Do you want to come and help me?,opensub,Literal,"No

Sentence: """
dark,"- How do you mean, dark?",opensub,Literal,"No

Sentence: """
come,"# Well, come on, well, come on",opensub,Literal,"No

Sentence: """
hot,"I dare you... to give Gemma... a long... hot, wet kiss on the mouth.",opensub,Literal,No
hard,# It's not hard to live a lie,opensub,Literal,"No

Sentence: """
bad,"Which is bad enough, right?",opensub,Literal,"No

Sentence: """
head,What do you call a man with a paper bag on his head?,opensub,Literal,"No

Sentence: """
score,- What if I score 40?,opensub,Literal,"No

Sentence: """
come,You didn't come home last night and there are no messages.,opensub,Literal,"No

Sentence: """
come,"Dane, I say to come home by 4, not start home at 4.",opensub,Literal,"No

Sentence: """
work,Just someone I work with.,opensub,Literal,"No

Sentence: """
ghost,Arnold's ghost must have got into it when he died.,opensub,Literal,"No

Sentence: """
come,Would you just please come home alright!,opensub,Literal,"No


Sentence: """
long,"It means"" long valley"" in Viking.",opensub,Literal,"No

Sentence: """
ghost,"'But most of all, it's imperative that the entire building be cleared of inhabitants'to allow the ghost-hunter to work'in controlled conditions without interruptions.'",opensub,Literal,No
touch,"And though I never touch the boys, it's always a struggle.",opensub,Literal,"No 


Sentence:"
come,Jem wanted me to ask if you wanted to come to dinner tomorrow night.,opensub,Literal,No
come,"- You go to the nurse, come.",opensub,Literal,"No

Sentence: """
come,All the produce would come in here.,opensub,Literal,"No

Sentence: """
off,"Well, by the time the anesthesia wears off, it's probably more like a couple of hours.",opensub,Literal,No
extra,I was born with an extra kidney.,opensub,Literal,"No

Sentence: """
bread,"I hate when you bite into an onion ring and the onion comes out, but then you're left with this fried bread tube thing.",opensub,Literal,"No


Sentence: """
come,I need you to come to my therapist this afternoon at 3 o'clock.,opensub,Literal,"No

Sentence: """
work,"I take her back and forth to work, I fix the car when it breaks I give her money for the phone bill and groceries.",opensub,Literal,"No


Sentence: """
hard,I know this is hard for you and I'm sorry about that.,opensub,Literal,"No

Sentence: """
come,And then maybe Lilly could come over.,opensub,Literal,"No

Sentence: """
live,In the winter they would go down and live in the caves.,opensub,Literal,"No

Sentence: """
long,"Now, how long are we going to bake them?",opensub,Literal,"No

Sentence: """
move,"Well, what I was going to say is that it's time for us to make a move.",opensub,Literal,"No


Sentence: """
work,But you know what helps if you need to work on your posture?,opensub,Literal,"No


Sentence: """
trip,Gonna have a nice trip here.,opensub,Literal,"No

Sentence: """
work,"Oh, my mom, she used to work at Hooters.",opensub,Literal,"No


Sentence: """
off,"Ladies and gentlemen, in this evening's performance of Concerto DSCH, please remember to turn off your cell phones.",opensub,Literal,"No

Sentence: """
light,... and helping his fellow man to find the path from darkness into the light.,opensub,Literal,No
man,"Often the day would end with the poor man hogtied on the living room floor, screaming furiously at us, trying to get the gag in without getting bitten.",opensub,Literal,No
secure,"Please secure your workarea, and immediately report to the new-born nursery to allow for a security search procedure.",opensub,Literal,"No 


Sentence:"
long,"And then, after a long, tearful...",opensub,Literal,"No

Sentence: """
light,And sometimes you can even convince yourself that he'll see the light and show up at your door.,opensub,Literal,No
long,I didn't mean to kiss you twice and then linger a long time on the second kiss.,opensub,Literal,No
man,"Hey, man, that's a good kid.",opensub,Literal,"No

Sentence: """
work,"The windows of this building, they don't really work right.",opensub,Literal,"No

Sentence: """
long,( Officer) Stay as long as you want.,opensub,Literal,"No

Sentence: """
dark,"Hey, he was a dark horse, wasn't he?",opensub,Literal,"No

Sentence: """
come,"- Come on, Charlie, we're just talking here.",opensub,Literal,"No

Sentence: """
live,"I'm homosexual, and I live in Sheffield.",opensub,Literal,"No


Sentence: """
come,Do you want to come?,opensub,Literal,"No

Sentence: """
come,"Come, come, Mr. Bond, you get just as much pleasure from killing as I do?",opensub,Literal,No
kill,I think he's going to kill Noel Winters.,opensub,Literal,"No

Sentence: """
tea,I left you my number with that cup of tea.,opensub,Literal,"No

Sentence: """
come,"She come earlier, she take her stuff and she go.",opensub,Literal,"No

Sentence: """
squad,"If the drug squad receive a call from a concerned citizen giving details of a drug cache at a residence in a problem area, they will generally act on the information.",opensub,Literal,"No 


Sentence:"
come,- Why can't I come with you?,opensub,Literal,"No

Sentence: """
touch,Don't you dare touch her.,opensub,Literal,"No

Sentence: """
man,( Man on radio).. Exactly what she looks for in a man.,opensub,Literal,No
wave,I'm gonna give another little wave to you.,opensub,Literal,"No

Sentence: """
run,Mitch Raymond use to run a firm called The Guvnors.,opensub,Literal,"No

Sentence: """
man,You could pretend you never heard this tape and let a man you know deserves it go down and let us walk away.,opensub,Literal,No
come,Why don't you come with me?,opensub,Literal,"No

Sentence: """
long,That was a long time ago.,opensub,Literal,"No

Sentence: """
come,Would you like to come in?,opensub,Literal,"No

Sentence: """
kill,How many people did they kill?,opensub,Literal,"No

Sentence: """
live,We used to live there.,opensub,Literal,"No

Sentence: """
hit,Some say he was hit by that car intentionally.,opensub,Literal,"No

Sentence: """
off,"So, off the guy goes flying back to Tulsa.",opensub,Literal,"No

Sentence: """
slide,All the food will slide to the floor.,opensub,Literal,"No

Sentence: """
work,"-"" If"" you work too much?",opensub,Literal,No
bag,- You put candy in your bag.,opensub,Literal,"No

Sentence: """
fire,"So we can go out the window, climb up to the roof go to the other side and then get in through the lopans' fire escape.",opensub,Literal,No
work,I work at a bank.,opensub,Literal,"No

Sentence: """
long,"Five summers with the length of five long winters, and again I hear these waters rolling from their mountain springs with soft inland murmur.",opensub,Literal,No
come,"- You come go down here, Lucas?",opensub,Literal,"No

Sentence: """
ride,It's only a train ride away.,opensub,Literal,"No

Sentence: """
hard,"But it's hard for a lot of mums and dads, isn't it?",opensub,Literal,"No

Sentence: """
long,How long have we got?,opensub,Literal,"No

Sentence: """
man,The man who has lived fully...,opensub,Literal,"No

Sentence: """
bang,""" Then, all of a sudden, there was a big crash-bang-wallop",opensub,Literal,"No


Sentence: """
run,♪ Once I ran to you Now I run from you ♪,opensub,Literal,No
bag,But you can get in this sleeping bag when he's finished with it.,opensub,Literal,"No


Sentence: """
off,"I've been ringing around putting people off, but I haven't done a very good job of it evidently.",opensub,Literal,No
come,We're gonna come down quick and hard on the criminal gangs that control the flow of heroin on the estate.,opensub,Literal,"No


Sentence: """
safe,"Yesterday, I had two hundred thousand in the safe.",opensub,Literal,"No

Sentence: """
come,- You come and sit here.,opensub,Literal,"No

Sentence: """
crack,Like a light coming through a crack in the...,opensub,Literal,"No


Sentence: """
catch,Dont you ever let me catch you doing anything like that ever again.,opensub,Literal,"No


Sentence: """
man,Neither of whom you've questioned in connection with the killing of this old man in the subway.,opensub,Literal,No
run,"You can either run away now and maybe you'll get far enough I'll never find you, or you take a swing.",opensub,Literal,"No


Sentence: """
hard,"I know it's very hard, but...",opensub,Literal,"No

Sentence: """
come,Come here while I kick you!,opensub,Literal,"No

Sentence: """
man,Is a man that's right for me,opensub,Literal,"No

Sentence: """
dark,"It doesn't have to be some deep, dark secret.",opensub,Literal,"No 


Sentence:"
come,"Now listen, Otto, I'm gonna send you the e-vite and you come, okay?",opensub,Literal,"No

Sentence: """
live,You don't even live there.,opensub,Literal,"No

Sentence: """
quiet,"We've to be quiet, okay?",opensub,Literal,"No

Sentence: """
trip,But what about your business trip?,opensub,Literal,"No

Sentence: """
off,said she ran off crying.,opensub,Literal,No
live,How do you know where I live?,opensub,Literal,"No

Sentence: """
come,"Sir, that won't come in until toxicology is finalized.",opensub,Literal,"No

Sentence: """
secure,"I mean, this really does feel secure.",opensub,Literal,"No

Sentence: """
man,This is a man's job.,opensub,Literal,"No

Sentence: """
come,"John, you can either come with me to the hospital or I'm gonna call an ambulance, all right?",opensub,Literal,"No


Sentence: """
man,- On one bitter winter day you use said ax to behead a man.,opensub,Literal,No
work,"But tomorrow after work, meet me at the triangle.",opensub,Literal,"No


Sentence: """
move,I thought I was doing like a finishing move.,opensub,Literal,"No


Sentence: """
off,"- Take your shoes off, Suzy.",opensub,Literal,"No

Sentence: """
come,And you shouldn't have got us to come here under false pretenses.,opensub,Literal,No
stick,"Oh, well, it did stick to the bottom of the pan a bit...",opensub,Literal,No
man,"( Raising his voice) I mean, that man, he was frightened.",opensub,Literal,"No 


Sentence:"
hard,"But it's very hard because you won't talk at all, so it always looks like I'm talking too much.",opensub,Literal,"No


Sentence: """
long,"- It's a long way to go to find out, Demps.",opensub,Literal,"No

Sentence: """
draw,You draw a picture now.,opensub,Literal,"No

Sentence: """
long,So how long had you been with Roper before the police arrived?,opensub,Literal,"No

Sentence: """
long,# And long for the day when I'll cling to him,opensub,Literal,"No


Sentence: """
man,-( Mrs Lintott) The new man seems clever.,opensub,Literal,"No


Sentence: """
ice,Daddy said I could have ice cream.,opensub,Literal,"No

Sentence: """
live,I live in the house now.,opensub,Literal,"No

Sentence: """
run,♪ I've got to run away I've got to ♪,opensub,Literal,"No


Sentence: """
work,"Look, Lucky, in our line of work, you just never know what's going to happen next, and we just have to accept that that's a part of it.",opensub,Literal,No
bad,"I was having awful dreams, really bad dreams.",opensub,Literal,"No

Sentence: """
long,Take as long as you want.,opensub,Literal,"No

Sentence: """
off,So you'll know that it started off life in the Bahamas somewhere around that sort of line of latitude south of the equator.,opensub,Literal,"No


Sentence: """
run,"- No, Gem, Gem, run, run.",opensub,Literal,"No 


Sentence:"
come,"Come on, everybody, off now.",opensub,Literal,"No

Sentence: """
man,( Man 1) All right then.,opensub,Literal,"No

Sentence: """
come,"# Well, come on, well, come on...#",opensub,Literal,"No


Sentence: """
long,"We had a long bun, as it were.",opensub,Literal,"No

Sentence: """
off,"I want to shoot the pigeons, off... off my roof.",opensub,Literal,"No


Sentence: """
fire,Sorry for setting the fire bell off.,opensub,Literal,"No

Sentence: """
off,"Roper won't be heading off on the trip, though.",opensub,Literal,"No 


Sentence:"
draw,"Take that, Nick, and what I'd like you to do, is draw me a house.",opensub,Literal,"No

Sentence: """
man,""" The tree of man was never quiet;",opensub,Literal,"No

Sentence: """
come,"Come on, Pepe, how many fingers I got up?",opensub,Literal,"No

Sentence: """
mood,I'm not really in the mood for this.,opensub,Literal,"No

Sentence: """
hit,You said you'd never hit me.,opensub,Literal,"No

Sentence: """
run,"[ speaks Spanish, repeats][ teacher speaking Spanish]"" When the lizards run"".",opensub,Literal,No
trip,"- Maybe you should just go on the trip and, you know, spend some alone time with Dick.",opensub,Literal,"No


Sentence: """
head,"talk about sort of lighting aspects, and in my head, it's much more extreme than I think.",opensub,Literal,No
come,"Just because I feel like I don't have, like, such a long neck, so the more things come up,",opensub,Literal,"No


Sentence: """
cool,You're standing on the thin cool crust of a gigantic ball of molten rock hurtling through frozen space.,opensub,Literal,No
man,"I once saw a man's kidney grow tentacles, tear itself out of a ragged hole in his back and go slapping across my kitchen floor.",opensub,Literal,No
hard,"- From our world, it's hard to really know for sure.",opensub,Literal,"No

Sentence: """
long,"And after all that however long"" all that"" may be you'll go somewhere new.",opensub,Literal,"No

Sentence: """
man,"Home of"" family circle's"" magazine...( Man on TV) With it's stunning natural beauty,",opensub,Literal,No
live,"- Can't just let him live, can I?",opensub,Literal,"No

Sentence: """
run,♪ Once I ran to you Now I'll run from you ♪,opensub,Literal,No
come,"I know, it would have been great, but I'd be safe in the knowledge that I could do that, and he won't come back with his man in a box, which would have been brilliant,",opensub,Literal,No
pull,"That's right, pull yourselves up.",opensub,Literal,"No

Sentence: """
heat,More heat in the chili sauce.,opensub,Literal,"No

Sentence: """
game,You could always get one of those chess computer game things.,opensub,Literal,"No


Sentence: """
long,"Briefly painful, but providing immunity for however long it takes.",opensub,Literal,No
come,- You ordered me to come in there.,opensub,Literal,"No

Sentence: """
long,The long features on the surface are the rillenkaren.,opensub,Literal,"No

Sentence: """
ghost,"'Tonight, haunted houses, ghost-hunting'and the search for life after death.",opensub,Literal,No
move,People usually don't move around the country for no reason.,opensub,Literal,"No

Sentence: """
draw,In case you wanted to draw a parallel there.,opensub,Literal,"No


Sentence: """
bad,You know who snores really bad?,opensub,Literal,"No

Sentence: """
man,It looks like a... very large man dragging a boy...,opensub,Literal,"No

Sentence: """
off,"Anyway, I'm rapidly going off the idea...",opensub,Literal,"No


Sentence: """
hot,"Bob Balaban said,"" Never be hot.",opensub,Literal,No
off,"Go on, get yourself off to school.",opensub,Literal,"No

Sentence: """
bad,"I can't sleep, I had a bad dream.",opensub,Literal,"No

Sentence: """
come,"I've come all this way, and I've come to support you!",opensub,Literal,"No

Sentence: """
hard,# It's not hard to live a lie,opensub,Literal,"No

Sentence: """
ice,Can I have ice in my whisky?,opensub,Literal,"No

Sentence: """
bars,"Tills on all the bars have been broken into and emptied of a decent amount of cash, but nothing else was taken, not even a bottle of Grouse from the shelves.",opensub,Literal,No
come,"Come on, come on, come on, closer.",opensub,Literal,"No

Sentence: """
bad,"There's so many bad things, bad people, and sometimes I wonder why we try so hard when we're so clearly outnumbered.",opensub,Literal,No
light,I see you've been getting into a little light reading.,opensub,Literal,"No

Sentence: """
come,"- Come on, use some muscle.",opensub,Literal,"No

Sentence: """
long,¶ That's how long I want to be your friend ¶,opensub,Literal,No
work,"You can wear it to work, go straight to happy hour.",opensub,Literal,"No

Sentence: """
off,"There you go, coming downstairs showing off before the neighbors.",opensub,Literal,"No

Sentence: """
come,"Well, come on, you don't have to go.",opensub,Literal,"No

Sentence: """
live,"You, you know, you make a choice and you live your life, and that's it.",opensub,Literal,"No


Sentence: """
come,"Come on, we're gonna be late.",opensub,Literal,"No

Sentence: """
work,"You better, before it starts to affect my work.",opensub,Literal,"No


Sentence: """
long,"How am I supposed to go to school here, if I don't know how long I to stay?",opensub,Literal,"No


Sentence: """
come,"So Mrs. Chiapetolis, would you like to come join me?",opensub,Literal,"No


Sentence: """
game,Tyler has a game on Saturday.,opensub,Literal,"No

Sentence: """
man,We lost a very good man when Detective DeAngelo left.,opensub,Literal,"No

Sentence: """
light,"Bridge, stand by to pick up the couple with cue ten, half minus, and stand by, Penny, to switch the light walkers, please.",opensub,Literal,No
off,"So if you take the waistband off and remove some length here, would that, like, put a deeper curve?",opensub,Literal,No
bad,"Sweetie, my relationship record indicates a guy who's bad news.",opensub,Literal,"No

Sentence: """
work,"Sara, listen, you and I both know that the review board, they can be killers if they find someone's work to be frivolous or impulsive, and everyone's gonna want to know why.",opensub,Literal,No
bad,I'm not saying nothing bad has ever happened to you.,opensub,Literal,"No


Sentence: """
hard,"But then you see this girl with this hand knocking herself in the head for being such a fool, crying so hard she can't mostly breathe and all that business like that.",opensub,Literal,No
long,"And look, as long as you're out, you might as well have a good time.",opensub,Literal,"No

Sentence: """
quiet,"You have to be quiet now, lily.",opensub,Literal,"No

Sentence: """
come,I want you to come with us.,opensub,Literal,"No

Sentence: """
check,I just want to check this with Amanda's assistant.,opensub,Literal,"No

Sentence: """
check,"Well, I'll go and check the gate.",opensub,Literal,"No

Sentence: """
off,Get the fuck off me.,opensub,Literal,"No

Sentence: """
man,We have to remind the public that one man from this unit cannot stain the sum total of our efforts;,opensub,Literal,No
bad,You've been an officer long enough to know that Quinlan was the casualty of a bad shooting.,opensub,Literal,"No


Sentence: """
bad,"Oh, are you like a bad dancer?",opensub,Literal,"No

Sentence: """
base,"So what we'll have at the base of the dish, we've got a goat cheese mousse and a globe artichoke puree, and that is garnished with deep-fried globe artichoke leaves as well as baby Jerusalem artichoke.",opensub,Literal,No
move,"Well, he made a move at the end of summer term.",opensub,Literal,"No 


Sentence:"
check,"Check your mirrors, your seat, make yourself comfortable.",opensub,Literal,"No

Sentence: """
safe,"- Go on, your secret's safe with us.",opensub,Literal,"No

Sentence: """
kill,Pay attention or you'll kill somebody.,opensub,Literal,"No

Sentence: """
dust,"In that dust a richer dust concealed.""",opensub,Literal,"No 


Sentence:"
come,♪ Come on in and take a seat ♪,opensub,Literal,"No

Sentence: """
come,"If you play here, they will come.",opensub,Literal,"No

Sentence: """
man,Does that make me a man without honour?,opensub,Literal,No
head,And taking the head over to your right.,opensub,Literal,"No 


Sentence:"
game,This is the game you play.,opensub,Literal,"No

Sentence: """
quiet,"Yeah, you were always the quiet one, weren't you?",opensub,Literal,"No

Sentence: """
off,"I thought we'd go up to Dunsop Bridge, up through the Trough of Bowland, through Abbeystead, get on the M6 at junction 33, then off at junction 36 a bit further up, and that'll take us almost all the way to Cartmel.",opensub,Literal,No
hard,"- Now that wasn't so hard, was it?",opensub,Literal,"No

Sentence: """
work,Everybody wants to work with you.,opensub,Literal,"No

Sentence: """
stick,"Oh, well, it did stick to the bottom of the pan a bit...",opensub,Literal,No
run,But Nicola hasn't run away.,opensub,Literal,"No

Sentence: """
come,"Come on, let's get in.",opensub,Literal,"No

Sentence: """
dark,"Oh, trust me, if you're in deep, dark water, of course your life is going to depend on whether you can swim or not.",opensub,Literal,"No


Sentence: """
wave,♪ All we seem to do these days Is wave our arms and yell ♪,opensub,Literal,"No

Sentence: """
man,"- But you're looking good, man.",opensub,Literal,"No

Sentence: """
light,Did you see any kind of bright white light?,opensub,Literal,"No

Sentence: """
mood,And thus in joyous mood they hie to Bolton's mouldering Priory.,opensub,Literal,No
come,You're welcome to come back to the yacht and have a drink with us.,opensub,Literal,"No

Sentence: """
come,"( Carl) Come on, tease me.",opensub,Literal,"No

Sentence: """
come,"Now, watch before you cross the road, come on.",opensub,Literal,"No

Sentence: """
light,♪ I feel your light shining on me ♪,opensub,Literal,"No

Sentence: """
man,I'm the small man stuck in a box.,opensub,Literal,"No

Sentence: """
work,One of us might be able to work a hand free.,opensub,Literal,"No

Sentence: """
long,- So how long's this going to take?,opensub,Literal,"No

Sentence: """
hard,"It's hard work being a grown-up, isn't it?",opensub,Literal,"No

Sentence: """
light,We shouldn't probably go much further just because of the light.,opensub,Literal,"No 


Sentence:"
calm,"Calm down a bit, love.",opensub,Literal,"No

Sentence: """
check,Just want to check the Dodger highlights.,opensub,Literal,"No

Sentence: """
live,The family dog live downstairs.,opensub,Literal,"No

Sentence: """
come,"Come on, come on, it's okay.",opensub,Literal,"No

Sentence: """
come,"You do know those lids come off, right?",opensub,Literal,"No

Sentence: """
off,You're better off going with something from the heart.,opensub,Literal,"No

Sentence: """
come,I don't like myself right now and I really wish that I hadn't come.,opensub,Literal,"No 


Sentence:"
work,Hey if it doesn't work at least let me give you this.,opensub,Literal,"No

Sentence: """
off,"Alright, stay off the beach.",opensub,Literal,"No

Sentence: """
come,Mia locked herself in the den and won't come out.,opensub,Literal,"No

Sentence: """
man,This dress can change a woman from the kind a man cheats on to the kind a man cheats with.,opensub,Literal,No
hard,Is it hard to find people who can't organize their own closets?,opensub,Literal,"No

Sentence: """
hard,"It's hard for me to picture in my head, because sometimes I'll, like,",opensub,Literal,"No

Sentence: """
come,Can we come out onstage?,opensub,Literal,"No

Sentence: """
kill,"She said she knew instantly in the depths of her soul that this man's intentions were to brutally rape, torture, and kill her and that by the time the psychotic had exited into a secluded area and actually said what his true intentions were,",opensub,Literal,No
work,"Like, I can't constantly be away from work or the girls can't deal with you leaving so often.",opensub,Literal,No
touch,"Hey, don't you touch that gun.",opensub,Literal,"No

Sentence: """
work,All that work me and you put in?,opensub,Literal,"No

Sentence: """
off,Rip from below the concrete so they can't turn it off without shutting down the grid.,opensub,Literal,No
woke,That's why I woke up.,opensub,Literal,"No

Sentence: """
hard,"This being the case, the sensible criminal maintains a fearsome reputation with good old-fashioned hard graft.",opensub,Literal,No
catch,# I was running to catch the door,opensub,Literal,"No

Sentence: """
come,"Mischa can't come, and I don't want to go alone.",opensub,Literal,"No

Sentence: """
calm,- Don't tell me to calm down!,opensub,Literal,"No

Sentence: """
come,Would you come to my funeral?,opensub,Literal,"No

Sentence: """
fire,"Remember, in the fire in The Griffin?",opensub,Literal,No
long,"Look, how long have you actually known Lisa?",opensub,Literal,"No

Sentence: """
fire,"But now to bed, unless you are one of those people, like me, who finds it very hard to get off after he's eaten cheese, in which case, stay awhile by the fire, talk of battles past and old,",opensub,Literal,No
long,The long features on the surface are the rillenkaren.,opensub,Literal,"No

Sentence: """
move,"I mean most people move out of Bensonville, not in it.",opensub,Literal,"No


Sentence: """
hard,I'm saying that it can be hard to have a big success.,opensub,Literal,"No

Sentence: """
come,"I've asked other people, but they're all too busy, so, you know, do you want to come?",opensub,Literal,"No


Sentence: """
long,""" Those long, uneven lines Standing as patiently",opensub,Literal,"No

Sentence: """
off,You'd be better off going anti-clockwise.,opensub,Literal,"No

Sentence: """
live,Are you not going to live at home?,opensub,Literal,"No

Sentence: """
long,"And like lollipops, it's something that we enjoyed a long time ago.",opensub,Literal,No
dark,Why can't it still be dark outside?,opensub,Literal,"No

Sentence: """
work,"And, can I just say on a personal note, Martin, that type of wild speculation undermines the work of the police force and ultimately does a disservice to members of the public who support it.",opensub,Literal,No
safe,"I suppose his firm looks after the club, so he thinks it's safe there as in his own office.",opensub,Literal,"No 


Sentence:"
come,- He'd love you to come.,opensub,Literal,"No

Sentence: """
man,"While each man thinks he knows love love, we have learned, is a mystery.",opensub,Literal,No
bad,"It's not as bad as what's ahead of you because at one time you thought there was love there, right in your life?",opensub,Literal,No
come,When you're gone will mommy come back?,opensub,Literal,"No

Sentence: """
work,That is the perfect opportunity to work on our relationship.,opensub,Literal,"No

Sentence: """
kill,Why can't I kill you?,opensub,Literal,"No

Sentence: """
bad,"But crime is bad for tourism, and tourism is Paradise's main business.",opensub,Literal,"No

Sentence: """
move,Or maybe I can move back.,opensub,Literal,"No

Sentence: """
come,"As you can see, a select few interested parties were allowed to come and observe your arrival.",opensub,Literal,No
touch,"if we can get you in touch with Marconi so you two can work out your little differences, will you release us?",opensub,Literal,No
head,"- You meet the reanimated body of the guy you beheaded last year, only he's got a new head stitched on with what looks like plastic weed-trimmer line and wears that unique expression of you're-the-man-who-killed-me- last-winter resentment",opensub,Literal,No
long,"the sandals, flamboyantly long hair, financial support from parents she reviled, and some professed membership in a apostrophe-heavy Eastern religion that I would defy anyone to pronounce correctly.",opensub,Literal,No
off,And then I watched her gently close the door and walk off barefoot down the hall and never seeing her again.,opensub,Literal,No
hit,"Well, music when I hit the right keys.",opensub,Literal,"No

Sentence: """
plug,You're supposed to plug them in over here.,opensub,Literal,"No

Sentence: """
long,I haven't been on a first date in a long time.,opensub,Literal,"No

Sentence: """
mad,"And you acted like somehow it was my fault my misunderstanding, and I was too in love with you to ever be mad at you, so I just punished myself!",opensub,Literal,No
hard,"Okay, I am trying very hard to think of a question that could in no way be construed as upsetting.",opensub,Literal,No
cool,"I like that, that's cool.",opensub,Literal,"No

Sentence: """
bad,"See, people always look at you funny when you say something that'cause they feel bad for you, or they--",opensub,Literal,No
long,We're looking at the New Jersey transit making local stops all day long.,opensub,Literal,"No

Sentence: """
move,Do they move to the Costa del Sol?,opensub,Literal,"No

Sentence: """
come,"You see, when you die then you come back to life.",opensub,Literal,No
calm,"Mitch, calm down, he's just being fair to humor.",opensub,Literal,"No

Sentence: """
run,♪ Now I know I've got to Run away ♪,opensub,Literal,"No


Sentence: """
dark,"Wouldn't mind being alone with that one in a long, dark railway tunnel.",opensub,Literal,No
off,You took the locks off?,opensub,Literal,"No

Sentence: """
bad,- Is it really that bad?,opensub,Literal,"No

Sentence: """
bad,It's your eyesight that's bad and we know what causes that.,opensub,Literal,No
touch,"If there's anything you can help us with, Mr Brown, please get in touch.",opensub,Literal,No
run,I don't run around and chase girls.,opensub,Literal,"No

Sentence: """
come,"[ Dodd] It's come round fast, hasn't it?",opensub,Literal,"No

Sentence: """
work,People are moving away to work.,opensub,Literal,"No

Sentence: """
bad,It's as bad as they say it is?,opensub,Literal,"No

Sentence: """
run,We had to run and hide.,opensub,Literal,"No

Sentence: """
sick,I heard he was sick.,opensub,Literal,"No

Sentence: """
long,[ girl] How long will you be in New Mexico?,opensub,Literal,"No

Sentence: """
long,"You take care of a car, it'll last for a long time.",opensub,Literal,"No

Sentence: """
come,Look you asked me to come down to see you.,opensub,Literal,"No

Sentence: """
sick,Why didn't you tell me your father was sick?,opensub,Literal,No
hot,- It is getting a little hot in here.,opensub,Literal,"No

Sentence: """
cut,He cut our grandfather's hair.,opensub,Literal,"No

Sentence: """
soft,I think both of them have to go towards soft just a little more.,opensub,Literal,No
cold,This is an experimental Cold War weapon designed to take down a city the size of Moscow.,opensub,Literal,"No 


Sentence:"
head,Get the fuck out of my head!,opensub,Literal,"No

Sentence: """
man,"Man, my uncle lost a foot in his riding mower.",opensub,Literal,"No

Sentence: """
head,"But if you could ask her if she could go into her head and, and forget it or, like, erase the tape of it happening in her memory, what do you think she'd say?",opensub,Literal,No
man,You really are an incredibly decent man.,opensub,Literal,"No 


Sentence:"
come,Come and tell me all about your Christmas presents.,opensub,Literal,"No

Sentence: """
man,"I have a grandson, and he loves that tiny man...",opensub,Literal,"No

Sentence: """
come,You said no one can come forward.,opensub,Literal,"No

Sentence: """
come,"These guys have come from America, man.",opensub,Literal,"No

Sentence: """
run,We could have run away.,opensub,Literal,"No

Sentence: """
come,You come and sit over here.,opensub,Literal,"No

Sentence: """
come,Perhaps you could come back tomorrow.,opensub,Literal,"No

Sentence: """
work,"- Work out another line of credit, though.",opensub,Literal,"No

Sentence: """
come,W... will you come downstairs please?,opensub,Literal,"No

Sentence: """
long,"Your time is long gone, old man.",opensub,Literal,"No

Sentence: """
come,"Come on, get a picture, get a picture, get a picture.",opensub,Literal,"No

Sentence: """
bad,- I told you this was a bad idea.,opensub,Literal,"No

Sentence: """
clean,He didn't clean the gutters out last spring.,opensub,Literal,"No

Sentence: """
long,What you people should have done a long time ago.,opensub,Literal,"No


Sentence: """
light,"In that light, they have elected to exchange vows which they themselves have written.",opensub,Literal,"No 


Sentence:"
hit,I think I hit something over here!,opensub,Literal,"No

Sentence: """
cheese,I'll go to Lucy's and get you a cheese enchilada and a strawberry shake.,opensub,Literal,"No

Sentence: """
bad,You say that like it's a bad thing.,opensub,Literal,"No

Sentence: """
man,"[ Bitsy] We want you to know, we think Ned Grodzinski is a wonderful man, and we couldn't be happier for you.",opensub,Literal,No
come,"Davey, come on, we gotta go.",opensub,Literal,"No

Sentence: """
loop,Rip that little loop off the back of your shirt.,opensub,Literal,"No

Sentence: """
trip,"Thank you so much for taking me on this trip, Mom.",opensub,Literal,"No

Sentence: """
game,Tyler has a playoff game on Saturday...,opensub,Literal,"No

Sentence: """
off,I can't get it off.,opensub,Literal,"No

Sentence: """
check,"If you don't like the answers you're getting, check your premises.",opensub,Literal,"No 


Sentence:"
off,Could you turn that thing off?,opensub,Literal,"No

Sentence: """
come,Do you want... you want to come down before?,opensub,Literal,"No

Sentence: """
off,It's like the balance of these is off.,opensub,Literal,"No

Sentence: """
light,"And then stand by, stage right, to switch our dancers here... or to switch our light walkers.",opensub,Literal,No
work,You've done some very impressive work.,opensub,Literal,"No

Sentence: """
work,"Please be back by 4, I have to go to work.",opensub,Literal,"No

Sentence: """
man,"Rob Brydon, Small Man in a Box.",opensub,Literal,"No

Sentence: """
come,I want you to come back.,opensub,Literal,"No

Sentence: """
gas,Gas explosion blew a hole in the side of my orphanage.,opensub,Literal,"No

Sentence: """
work,- They've got a bit of work to do.,opensub,Literal,"No

Sentence: """
man,He wasn't a happy man.,opensub,Literal,"No

Sentence: """
hard,♪ Like I'm hitting it hard But it's just pretend ♪,opensub,Literal,"No

Sentence: """
hot,"You couldn't send a medic in, the section was too hot.",opensub,Literal,"No 


Sentence:"
